total_area,no_of_bed_room,no_of_bath_room,city,tiles,rent_tk,balcony
840.05,2,1,lakshmipur city,yes,15631.37,0
783.36,1,1,feni city,yes,11571.86,1
1346.45,3,2,raipur city,yes,19795.01,3
1051.26,2,1,noakhali city,yes,21254.48,0
1281.43,2,2,raipur city,no,23165.17,2
1305.04,3,1,raipur city,yes,17574.41,1
980.16,2,1,raipur city,no,12619.85,1
1182.82,3,1,noakhali city,yes,21581.59,2
1585.67,4,1,feni city,no,30000.0,4
1153.05,3,1,noakhali city,yes,22962.56,1
760.13,2,1,raipur city,yes,11490.3,1
1217.23,3,2,lakshmipur city,no,30000.0,3
1632.69,4,1,lakshmipur city,yes,23947.41,0
1055.26,3,2,feni city,yes,25694.71,1
1302.91,3,2,lakshmipur city,yes,30000.0,2
1126.99,3,1,raipur city,yes,21141.89,2
1200.17,2,2,noakhali city,yes,21680.95,0
571.53,1,1,raipur city,yes,9044.57,1
1380.89,3,3,feni city,yes,26219.8,2
1190.6,3,1,raipur city,no,18177.52,0
943.27,1,1,feni city,yes,13083.48,0
783.95,1,1,lakshmipur city,no,11557.74,1
1044.71,3,1,lakshmipur city,no,21908.12,1
1327.7,3,3,feni city,yes,29596.23,0
906.95,2,2,feni city,yes,17121.99,1
1286.48,3,2,raipur city,no,16713.51,1
1046.69,2,1,lakshmipur city,yes,18937.8,2
840.81,2,1,noakhali city,yes,17052.6,1
1101.84,3,2,noakhali city,yes,27396.53,2
1512.67,3,2,raipur city,yes,23124.64,3
1608.64,4,4,lakshmipur city,yes,30000.0,1
1169.06,3,1,lakshmipur city,yes,21305.96,1
458.31,1,1,feni city,yes,9172.13,0
1226.09,3,3,raipur city,no,25111.22,2
1336.18,3,2,noakhali city,no,30000.0,2
1135.38,3,3,feni city,yes,23142.36,1
1274.18,3,3,noakhali city,yes,26630.71,0
1617.57,3,3,noakhali city,yes,30000.0,0
558.35,1,1,noakhali city,yes,14282.12,1
1358.48,2,1,raipur city,yes,23291.32,2
1109.34,3,2,lakshmipur city,no,27759.08,1
1027.53,2,1,lakshmipur city,yes,20632.2,0
1252.97,3,3,lakshmipur city,yes,23638.16,0
1159.47,3,1,lakshmipur city,yes,27576.55,3
1342.14,3,2,raipur city,no,20201.24,0
1124.41,2,1,noakhali city,yes,23044.01,2
868.33,3,2,feni city,yes,24967.27,3
1324.22,3,3,noakhali city,no,25126.88,2
1351.48,3,1,lakshmipur city,no,21295.24,2
1338.58,2,2,noakhali city,no,23101.26,2
859.95,2,1,feni city,yes,16733.5,1
1377.3,3,3,raipur city,no,23504.39,1
1053.73,2,2,raipur city,yes,20480.26,1
1330.18,3,1,raipur city,no,21056.25,2
1059.52,3,1,raipur city,yes,22043.28,3
1150.61,3,2,feni city,no,18277.27,1
929.46,2,2,noakhali city,yes,24152.75,2
960.65,1,1,feni city,yes,11929.96,0
1112.58,3,3,raipur city,yes,19961.51,1
1361.06,4,4,lakshmipur city,yes,30000.0,2
774.53,2,2,raipur city,yes,14627.56,0
847.42,2,2,lakshmipur city,yes,17502.77,0
1277.5,3,1,raipur city,yes,17320.04,2
982.77,2,2,feni city,yes,16955.79,0
1223.26,3,2,raipur city,no,18752.25,0
1386.91,3,1,lakshmipur city,yes,25030.01,2
1088.99,4,4,feni city,yes,28438.77,1
1472.8,4,3,raipur city,yes,29605.27,4
884.1,2,1,feni city,yes,14594.94,2
1016.68,3,3,feni city,no,25902.49,1
1506.95,4,3,raipur city,no,23562.65,3
1034.64,2,2,lakshmipur city,yes,16359.03,0
1292.6,4,1,noakhali city,no,30000.0,3
931.22,2,2,noakhali city,yes,24325.52,2
1363.28,3,1,lakshmipur city,no,21614.56,1
1194.35,3,1,lakshmipur city,yes,20588.53,1
965.5,1,1,lakshmipur city,no,16808.9,1
849.89,2,2,noakhali city,yes,18240.98,1
1478.09,3,2,feni city,yes,29029.91,1
989.65,2,1,noakhali city,yes,18897.08,2
1013.27,4,2,feni city,yes,25102.97,2
1176.28,3,2,noakhali city,no,27626.15,3
1120.99,2,1,lakshmipur city,yes,20284.68,0
766.25,1,1,lakshmipur city,no,12293.04,1
1581.14,4,3,feni city,yes,30000.0,4
1035.4,2,1,feni city,yes,17603.93,2
1234.9,3,1,lakshmipur city,yes,22133.92,0
1080.46,3,2,noakhali city,no,26909.76,1
788.63,1,1,lakshmipur city,yes,12319.4,1
1588.83,5,1,feni city,yes,30000.0,3
1293.1,3,1,raipur city,no,21296.07,2
1203.23,2,1,raipur city,no,12872.08,0
1354.3,3,1,lakshmipur city,yes,26163.85,2
637.84,1,1,feni city,yes,11506.68,1
1357.97,3,2,noakhali city,no,28474.54,3
989.23,3,2,lakshmipur city,yes,29059.42,3
1075.16,2,1,feni city,yes,17829.17,2
1354.78,3,2,noakhali city,yes,30000.0,3
577.17,1,1,lakshmipur city,no,9040.13,1
1196.36,3,3,noakhali city,no,30000.0,3
716.72,1,1,lakshmipur city,yes,14053.52,0
520.8,1,1,lakshmipur city,yes,10523.66,1
955.04,2,1,noakhali city,yes,17264.28,1
1175.14,3,3,noakhali city,no,30000.0,3
1076.16,3,1,lakshmipur city,no,19895.61,2
1443.38,4,2,raipur city,yes,23545.64,1
1368.3,2,1,noakhali city,no,25476.8,1
1494.72,4,3,feni city,yes,30000.0,2
1968.08,5,3,lakshmipur city,yes,30000.0,2
463.15,1,1,feni city,yes,10551.44,0
1268.24,4,2,noakhali city,yes,30000.0,0
537.72,1,1,feni city,yes,8913.99,1
611.4,1,1,lakshmipur city,yes,14791.24,1
1406.49,4,4,noakhali city,no,30000.0,2
1354.57,3,1,lakshmipur city,no,23347.15,0
1160.06,3,1,raipur city,no,18548.44,0
959.7,2,1,lakshmipur city,yes,21677.69,1
1318.72,4,3,noakhali city,no,30000.0,1
1095.83,2,2,noakhali city,yes,27128.8,0
1096.82,2,2,noakhali city,yes,22981.27,2
1524.49,3,2,feni city,yes,23752.06,2
1077.8,2,2,noakhali city,yes,27636.19,2
1106.29,3,1,noakhali city,yes,20191.91,1
1655.07,5,3,lakshmipur city,yes,30000.0,4
1321.13,4,3,feni city,yes,23930.79,1
1794.8,5,1,lakshmipur city,yes,29730.39,2
1016.15,2,1,lakshmipur city,no,23027.52,2
722.98,2,1,raipur city,no,11022.09,1
915.0,2,1,noakhali city,no,18021.25,0
1176.2,3,2,raipur city,no,20574.67,1
822.0,2,2,raipur city,yes,17336.33,1
1045.72,1,1,noakhali city,yes,16854.79,1
1225.16,2,2,noakhali city,yes,26422.63,1
982.15,2,1,raipur city,yes,15464.26,1
1023.32,3,3,feni city,no,24487.09,0
654.95,1,1,noakhali city,yes,13635.5,0
1192.84,3,2,feni city,no,24499.35,3
1268.55,4,1,raipur city,yes,27642.92,4
1005.65,2,2,lakshmipur city,yes,22550.78,1
1609.9,4,2,lakshmipur city,no,24466.83,0
1138.7,2,2,raipur city,yes,20428.38,1
1497.71,4,3,feni city,no,28259.59,1
1496.48,3,2,feni city,yes,21398.67,1
1151.95,3,1,feni city,yes,24171.04,2
1263.62,3,3,noakhali city,yes,30000.0,3
1030.83,3,1,lakshmipur city,yes,22141.98,2
1084.64,2,2,feni city,no,19468.08,0
1216.14,4,1,noakhali city,yes,30000.0,3
980.34,3,2,feni city,yes,20644.6,0
1266.77,4,2,feni city,yes,28071.05,2
795.54,2,2,feni city,yes,15175.41,1
1196.17,3,1,lakshmipur city,yes,22710.93,1
1375.91,3,1,lakshmipur city,yes,24045.41,3
1121.09,2,2,feni city,yes,22048.47,2
1413.14,5,3,raipur city,no,26928.9,2
1066.95,3,2,raipur city,yes,19474.23,0
1063.62,2,2,noakhali city,yes,21081.87,0
1129.84,3,1,raipur city,no,16516.09,2
1068.67,1,1,noakhali city,yes,19666.23,1
614.4,1,1,raipur city,no,8041.31,0
1294.39,3,2,noakhali city,no,30000.0,3
568.33,1,1,feni city,yes,10862.99,0
1075.51,2,2,raipur city,yes,19849.23,0
1290.0,3,2,raipur city,yes,23644.96,0
878.49,2,1,lakshmipur city,no,17012.67,2
1227.57,3,1,lakshmipur city,yes,26792.65,0
1425.02,4,1,lakshmipur city,no,30000.0,2
1051.5,3,2,raipur city,yes,25202.93,3
1534.0,5,1,noakhali city,yes,30000.0,0
1535.22,4,1,feni city,no,28108.79,4
979.17,2,2,feni city,yes,17501.7,1
697.07,2,1,noakhali city,yes,14467.78,0
1160.71,2,2,noakhali city,yes,21448.97,1
1671.3,3,2,lakshmipur city,yes,30000.0,3
1404.95,4,1,noakhali city,yes,30000.0,3
1353.37,3,3,feni city,no,29595.03,1
1072.14,4,3,noakhali city,no,29313.99,4
971.67,2,2,feni city,yes,19595.23,1
1082.96,2,1,noakhali city,no,19902.49,0
692.47,1,1,raipur city,yes,8727.09,0
1233.8,2,2,feni city,no,17772.05,1
876.61,2,2,feni city,yes,14521.36,1
977.45,2,1,lakshmipur city,yes,20223.96,2
841.09,2,1,raipur city,no,14523.11,0
1271.63,3,3,raipur city,yes,23816.88,0
1088.0,2,2,raipur city,yes,18511.86,1
1102.15,2,2,feni city,yes,20304.68,1
983.69,1,1,lakshmipur city,yes,15229.96,1
1443.51,3,2,noakhali city,no,24032.48,0
1451.66,3,2,noakhali city,yes,27549.82,0
916.96,2,2,lakshmipur city,yes,18181.08,1
834.88,2,1,lakshmipur city,yes,15957.45,0
693.31,1,1,raipur city,yes,10866.67,0
1235.71,4,2,raipur city,yes,24368.54,1
1109.95,2,2,feni city,no,17711.07,0
883.75,1,1,raipur city,yes,13227.34,0
1211.4,3,2,feni city,yes,25482.39,1
919.91,2,2,noakhali city,no,24164.11,1
788.93,2,2,raipur city,yes,12910.63,0
1223.31,3,1,raipur city,no,16663.8,3
1369.86,2,1,noakhali city,yes,23874.59,1
1117.39,3,3,noakhali city,yes,28586.86,1
1321.98,3,3,feni city,yes,24598.85,1
1728.79,4,2,raipur city,no,29584.64,1
1102.1,2,2,raipur city,yes,13851.88,0
1213.1,3,2,feni city,no,18877.94,1
1082.0,2,1,lakshmipur city,yes,23362.36,1
880.07,2,1,lakshmipur city,yes,14374.59,0
852.73,1,1,raipur city,no,11408.02,1
1259.1,4,4,noakhali city,yes,30000.0,4
978.39,2,1,feni city,no,15038.11,0
1222.3,3,2,lakshmipur city,yes,21225.02,0
949.44,2,2,noakhali city,yes,23899.12,1
1090.05,3,3,raipur city,yes,23993.37,3
1288.51,4,2,raipur city,no,24592.47,4
1181.17,2,1,noakhali city,yes,26050.88,0
952.5,2,1,feni city,yes,14485.43,0
970.09,3,3,lakshmipur city,yes,29069.51,1
954.94,1,1,lakshmipur city,yes,13970.15,1
1021.04,3,1,raipur city,yes,20725.1,3
993.99,2,2,feni city,yes,19985.13,0
899.64,2,2,noakhali city,no,15943.28,0
1555.99,4,2,noakhali city,no,30000.0,3
973.59,3,3,feni city,yes,21392.23,0
958.64,2,2,feni city,yes,14405.6,0
745.2,1,1,raipur city,yes,9491.31,1
1227.7,3,2,raipur city,yes,20535.77,2
1332.29,4,3,feni city,yes,30000.0,4
934.59,2,2,raipur city,yes,20669.75,2
1168.3,3,1,feni city,yes,16485.08,0
982.39,2,2,lakshmipur city,no,21550.12,2
1480.74,4,4,noakhali city,yes,30000.0,2
1160.88,2,1,lakshmipur city,yes,21134.45,2
1431.59,4,2,lakshmipur city,no,30000.0,2
1276.87,3,2,feni city,no,21472.04,2
1055.87,2,1,feni city,yes,16599.62,2
1439.87,3,1,lakshmipur city,yes,28685.51,1
820.59,2,1,lakshmipur city,yes,17847.05,0
1194.04,3,3,noakhali city,yes,30000.0,1
1106.64,3,1,feni city,yes,23131.09,1
1271.71,3,1,raipur city,yes,20936.63,3
1450.49,3,1,lakshmipur city,yes,29572.47,2
1259.2,3,2,raipur city,no,16553.44,1
924.05,1,1,noakhali city,yes,15204.32,1
1319.67,3,3,feni city,yes,23564.37,0
945.17,3,2,raipur city,yes,15254.32,0
1418.58,3,1,lakshmipur city,yes,25834.79,0
1218.97,3,3,raipur city,no,18245.9,2
1096.81,3,2,raipur city,yes,23358.96,2
1174.47,3,3,noakhali city,no,24656.24,1
1132.02,3,1,raipur city,yes,22472.88,3
872.01,1,1,noakhali city,no,16034.41,0
995.18,3,1,lakshmipur city,yes,23841.82,1
1144.17,3,3,feni city,no,19334.46,0
1163.31,2,2,raipur city,yes,15764.25,2
915.61,3,2,lakshmipur city,yes,24044.68,0
1425.54,4,1,lakshmipur city,yes,30000.0,4
1126.99,3,2,raipur city,yes,20413.87,2
821.28,1,1,noakhali city,yes,15927.91,0
1053.02,2,2,raipur city,yes,14375.3,1
1018.23,2,1,lakshmipur city,no,17501.9,2
1223.9,2,1,raipur city,yes,13718.86,0
1159.33,3,3,raipur city,yes,19247.54,0
1118.05,2,1,feni city,no,19130.04,2
866.33,2,2,feni city,no,19871.3,1
1044.03,2,1,lakshmipur city,yes,24559.86,2
796.51,2,1,raipur city,yes,11588.22,0
870.5,1,1,lakshmipur city,yes,17876.44,1
1487.21,3,3,lakshmipur city,yes,30000.0,1
1035.7,3,1,lakshmipur city,no,22145.07,1
1367.34,4,3,lakshmipur city,no,30000.0,4
1102.91,3,3,feni city,yes,22957.09,2
991.17,2,1,noakhali city,no,15896.58,1
1325.38,4,2,raipur city,yes,30000.0,4
1096.72,3,2,lakshmipur city,yes,21621.67,0
1244.81,3,3,raipur city,yes,18047.95,0
1487.23,5,4,noakhali city,yes,30000.0,3
1378.22,3,1,raipur city,yes,25324.04,2
1080.51,2,2,lakshmipur city,no,19169.47,1
949.78,2,1,feni city,no,16919.82,0
939.45,2,2,noakhali city,yes,25449.93,1
1188.05,3,3,raipur city,yes,24900.0,2
1067.86,2,2,lakshmipur city,yes,18721.84,1
1468.94,3,3,feni city,yes,25873.71,1
1033.59,2,1,feni city,no,16094.34,0
1397.57,3,1,feni city,yes,22972.15,3
1382.29,4,4,lakshmipur city,yes,27726.2,1
1128.56,2,1,lakshmipur city,yes,23930.4,2
974.66,2,2,noakhali city,no,23904.27,1
1552.36,5,3,lakshmipur city,yes,30000.0,3
898.68,2,2,raipur city,yes,18064.76,2
1249.95,4,3,raipur city,no,23408.31,2
1298.34,4,4,raipur city,no,27087.03,0
1440.9,4,3,noakhali city,yes,30000.0,2
1097.56,2,1,lakshmipur city,yes,24199.16,1
1166.72,3,1,lakshmipur city,no,28995.19,3
1263.25,3,1,feni city,yes,28600.04,3
1529.93,3,3,feni city,yes,30000.0,3
879.8,1,1,noakhali city,yes,12845.3,0
759.04,2,2,raipur city,no,15521.53,2
1516.89,4,4,feni city,yes,30000.0,1
1584.33,5,3,noakhali city,yes,30000.0,0
1574.68,5,2,feni city,yes,27856.48,4
1039.77,2,2,raipur city,yes,19576.97,0
1296.29,3,3,raipur city,yes,24069.98,3
979.38,2,1,feni city,yes,16891.47,0
1342.93,3,3,noakhali city,yes,28879.22,2
1065.6,3,2,raipur city,no,19539.25,2
860.37,2,2,feni city,yes,13547.05,0
735.6,1,1,lakshmipur city,yes,12900.65,0
896.14,2,1,feni city,yes,16023.34,0
962.67,1,1,noakhali city,yes,16252.26,0
1313.37,4,1,lakshmipur city,yes,30000.0,4
934.63,2,1,noakhali city,yes,20992.31,2
1010.39,2,1,feni city,yes,21637.21,2
1138.19,2,1,noakhali city,no,24664.8,2
1118.64,3,3,noakhali city,yes,23415.75,1
1359.72,4,2,feni city,yes,24262.15,3
1066.32,3,1,raipur city,yes,16012.57,0
1599.53,4,3,noakhali city,yes,30000.0,2
1199.05,2,1,lakshmipur city,yes,17669.72,0
1192.31,2,2,lakshmipur city,yes,18520.14,1
1217.53,3,3,lakshmipur city,yes,24994.55,0
973.8,2,1,noakhali city,yes,18607.96,0
777.25,2,1,feni city,yes,13166.71,0
1060.65,3,2,lakshmipur city,no,24180.7,3
1076.58,4,4,raipur city,yes,19535.62,1
1009.97,3,3,raipur city,yes,24553.91,2
1406.64,4,3,noakhali city,yes,30000.0,4
1065.46,2,1,feni city,yes,17880.48,0
1598.95,4,4,lakshmipur city,yes,30000.0,3
832.79,2,1,noakhali city,yes,15429.95,1
1014.65,2,1,raipur city,yes,13639.74,1
937.94,2,1,noakhali city,yes,18629.46,0
1560.63,4,1,lakshmipur city,yes,30000.0,4
797.25,1,1,raipur city,yes,12401.26,0
1459.59,4,3,feni city,no,30000.0,1
610.78,1,1,lakshmipur city,no,11877.83,1
1070.24,3,1,noakhali city,yes,28666.62,2
864.69,2,1,raipur city,yes,15233.57,1
1359.1,3,1,noakhali city,no,29428.91,0
1346.72,5,1,feni city,yes,30000.0,3
1171.32,2,1,feni city,no,20270.6,0
1397.98,4,2,noakhali city,yes,30000.0,1
1258.58,3,3,lakshmipur city,yes,28606.28,2
1191.77,3,1,lakshmipur city,yes,25561.04,2
1642.83,5,4,feni city,yes,26785.02,0
1282.66,4,4,noakhali city,yes,30000.0,2
838.05,2,1,lakshmipur city,yes,18780.2,1
1338.51,4,2,feni city,no,24961.59,3
1087.94,3,2,raipur city,no,17333.6,2
1581.39,4,3,lakshmipur city,yes,30000.0,4
984.07,3,3,raipur city,no,19138.47,0
975.54,2,2,raipur city,yes,15570.91,1
888.26,2,2,raipur city,no,11848.99,0
930.51,2,2,noakhali city,no,19701.24,2
767.08,1,1,lakshmipur city,no,14281.45,1
761.11,2,1,feni city,yes,12222.02,1
1086.37,3,1,feni city,yes,23073.61,0
871.8,2,1,noakhali city,no,19565.78,0
1250.26,3,2,lakshmipur city,yes,28347.69,3
1235.49,3,1,lakshmipur city,yes,29331.68,2
1205.46,2,1,raipur city,yes,15789.57,2
1076.64,3,1,lakshmipur city,yes,26041.25,2
1168.15,2,2,lakshmipur city,yes,24588.33,0
871.23,2,2,noakhali city,no,18108.49,2
1568.84,4,4,noakhali city,no,30000.0,3
1058.57,2,2,noakhali city,yes,18219.56,0
984.52,2,1,noakhali city,no,14763.5,0
1028.73,2,1,feni city,no,19228.32,2
1010.26,2,2,lakshmipur city,yes,26530.65,2
1147.46,2,2,noakhali city,yes,22768.76,2
1153.69,3,1,lakshmipur city,no,21196.21,3
1275.32,4,3,noakhali city,no,30000.0,2
1412.56,3,1,raipur city,yes,17403.05,0
1161.28,2,1,feni city,yes,17882.04,0
1194.69,4,4,noakhali city,yes,28596.23,2
1311.12,3,1,lakshmipur city,yes,28962.06,1
723.02,1,1,lakshmipur city,no,10484.73,1
961.77,2,1,feni city,yes,19105.86,0
1066.54,2,1,raipur city,no,18133.66,2
1100.93,2,2,raipur city,yes,17543.8,1
1088.77,2,1,raipur city,yes,16388.72,2
1288.65,3,3,lakshmipur city,no,23494.09,3
1698.69,4,3,feni city,yes,26914.97,0
1046.81,2,1,feni city,yes,19746.55,1
1222.49,3,2,feni city,no,26988.37,3
1010.98,3,3,raipur city,yes,25657.81,3
1107.55,3,1,noakhali city,yes,29112.62,2
1224.5,4,3,raipur city,no,20821.47,0
1327.28,3,3,lakshmipur city,no,23385.49,2
1274.73,4,4,noakhali city,no,30000.0,0
1313.43,2,2,feni city,no,21108.07,0
1203.86,4,2,lakshmipur city,yes,28018.57,2
1428.75,4,4,raipur city,yes,30000.0,0
1285.75,4,4,lakshmipur city,no,30000.0,3
1646.48,5,2,raipur city,yes,26968.27,0
1076.64,3,3,lakshmipur city,no,23593.79,0
1797.54,5,4,lakshmipur city,no,30000.0,4
1222.88,2,1,raipur city,no,16848.48,1
1366.91,4,4,noakhali city,yes,30000.0,4
1332.35,3,2,feni city,no,22829.85,3
732.19,1,1,feni city,no,8659.41,0
1524.38,2,2,raipur city,yes,21742.12,2
580.49,1,1,noakhali city,no,11510.33,0
1260.97,3,1,lakshmipur city,yes,28951.84,2
763.06,2,1,noakhali city,yes,17195.35,2
1032.09,2,1,noakhali city,yes,19630.99,0
971.59,2,1,raipur city,yes,16104.95,0
971.63,2,1,feni city,yes,18198.39,2
1138.25,2,2,raipur city,yes,18098.75,0
789.14,2,1,lakshmipur city,yes,17377.17,2
1260.31,4,3,raipur city,no,29062.54,4
761.26,3,3,raipur city,yes,16686.88,0
1187.17,2,1,noakhali city,yes,24086.93,1
1070.04,3,1,raipur city,yes,17584.0,2
1496.84,4,2,feni city,no,25773.71,3
1162.24,3,1,feni city,no,22682.19,1
1570.04,4,2,raipur city,yes,28938.6,0
910.37,2,2,lakshmipur city,yes,17916.22,0
1413.36,3,2,feni city,yes,30000.0,3
761.73,2,2,noakhali city,yes,19191.23,0
1318.94,3,1,noakhali city,yes,30000.0,2
951.9,2,1,raipur city,yes,12255.26,0
1669.28,4,1,noakhali city,no,28653.49,1
1158.73,2,2,noakhali city,yes,26415.72,2
1140.63,2,1,noakhali city,yes,25248.32,1
572.32,1,1,feni city,yes,11066.37,0
1546.45,5,3,noakhali city,yes,30000.0,4
1036.55,2,2,lakshmipur city,no,23933.14,2
1208.01,2,1,feni city,no,19863.68,1
863.92,1,1,noakhali city,no,18328.13,1
972.52,2,2,lakshmipur city,yes,17841.46,0
771.65,2,2,feni city,no,15337.52,0
1366.9,3,2,raipur city,yes,23849.03,1
724.54,1,1,noakhali city,yes,15061.22,0
812.49,2,1,feni city,no,16256.78,2
995.91,2,2,raipur city,yes,20275.65,1
1559.91,5,1,noakhali city,yes,30000.0,4
1026.05,2,2,noakhali city,yes,20972.7,1
1094.8,3,2,raipur city,yes,20506.66,1
787.49,1,1,feni city,yes,13150.34,1
1227.85,3,2,feni city,yes,26422.48,0
1322.82,3,1,feni city,yes,19551.22,0
1630.69,4,1,lakshmipur city,yes,27312.53,2
967.76,2,1,feni city,yes,16308.82,1
1041.52,2,1,noakhali city,yes,18293.59,0
1568.65,4,2,raipur city,no,22073.93,1
949.89,2,2,lakshmipur city,yes,17953.7,2
852.55,1,1,feni city,yes,15279.1,1
1644.68,5,4,lakshmipur city,yes,30000.0,0
1244.13,3,3,lakshmipur city,no,23165.14,3
964.84,2,1,noakhali city,yes,17967.13,2
1242.25,2,2,noakhali city,yes,23990.09,1
1549.56,4,3,lakshmipur city,no,30000.0,3
1130.37,2,2,lakshmipur city,yes,24752.82,1
1533.09,4,2,noakhali city,yes,30000.0,2
1566.04,4,1,raipur city,yes,30000.0,4
1296.18,3,2,feni city,yes,27512.45,3
1117.57,3,2,noakhali city,yes,24485.72,2
1328.94,3,1,lakshmipur city,yes,30000.0,2
1262.38,2,1,feni city,no,15310.15,0
647.26,1,1,noakhali city,no,14466.89,1
1603.91,4,4,feni city,yes,27934.67,0
1164.13,3,1,raipur city,no,14309.83,0
1292.36,3,3,raipur city,yes,20701.23,0
915.22,2,2,lakshmipur city,yes,21913.11,0
1246.24,3,3,lakshmipur city,yes,29921.35,0
876.51,3,2,feni city,yes,17233.44,0
1084.95,3,1,feni city,yes,19357.19,3
1621.65,4,1,raipur city,yes,23122.15,3
893.56,2,2,noakhali city,yes,22897.49,2
811.22,2,1,raipur city,yes,13561.18,2
1038.78,2,2,lakshmipur city,yes,19651.68,0
1205.74,3,3,feni city,yes,24558.46,1
1282.33,3,1,feni city,yes,21286.67,0
1332.88,2,2,noakhali city,yes,22660.54,1
1480.6,4,3,lakshmipur city,yes,30000.0,2
1600.15,4,3,feni city,yes,24522.97,1
1359.62,3,1,raipur city,yes,18563.13,0
1185.09,3,1,noakhali city,no,24643.09,2
1463.64,3,1,feni city,no,20392.15,1
638.97,1,1,raipur city,yes,10879.48,1
1308.99,4,4,raipur city,yes,30000.0,1
1631.69,5,3,raipur city,yes,26228.6,1
1067.24,3,3,lakshmipur city,no,28256.53,3
1618.56,4,2,feni city,no,30000.0,2
889.82,1,1,noakhali city,yes,16598.85,0
1300.25,3,1,noakhali city,no,30000.0,3
1361.14,3,3,lakshmipur city,yes,29417.79,0
1628.93,4,1,feni city,no,29561.6,1
1028.6,2,2,feni city,no,16873.58,1
1341.2,3,2,noakhali city,yes,29334.1,3
1327.6,3,2,raipur city,no,23275.48,3
1176.49,3,3,lakshmipur city,yes,30000.0,1
